,SSOId,Visitors,Visits/Visitors,Visits,VisitorsApp,VisitorsWeb,VisitorsAmp,StartDay
0,39C76F9E5212D66BF0A3A050F2F4B7842C09B813D3BF6BC59C0FE9D809DB3D64,1.0,1.0,1.0,0.0,1.0,0.0,20200425
1,554AF1AC3D7CA8DB13B6AE303CD8B2862C05F51BD3B4F171410B764E44D47C5A,1.0,1.0,1.0,0.0,1.0,0.0,20200425
2,64E50ED19EE17AB9CFB0BE6CB1DB8B9DF9DB32FA9EA75CD5F2E1DC2243B4918F,1.0,1.0,1.0,0.0,1.0,0.0,20200425
3,235234B9A7A60CD7DF0AA54B520CFB53EFA614C22C193C44E6B371567B75E2E1,1.0,1.0,1.0,0.0,1.0,0.0,20200425
4,6258741782957AB7AED072EAEB8BF7DAD909CC9EA8CB914431706CDBA45B4515,1.0,1.0,1.0,0.0,1.0,0.0,20200425
5,FD7D208967661AB663E405B807A7C92DAD0695405ECA769621670A99EE6A78F5,1.0,1.0,1.0,0.0,1.0,0.0,20200425
6,34F52EB8729ADED13BAC09931CAFB3C1E0066CA2DD6CFA8B04C4911E586684E5,1.0,1.0,1.0,0.0,1.0,0.0,20200425
7,880B640ABDE954409CEA9685336BE1018CE6AE245ED159A77F8BE1FDA28917FF,1.0,1.0,1.0,0.0,1.0,0.0,20200425
8,7CE7113393FFDD2134B889540F9C38FD6D76FA2F2DC4646209BA6FCD8D9D421F,1.0,1.0,1.0,0.0,1.0,0.0,20200425
9,2C3A8A59F679E48CBC502ECA89BD0092500F94B01A1E64F6AFED0D96144002AF,1.0,1.0,1.0,0.0,1.0,0.0,20200425
10,804227E4B2054F1BE4825B9E3BAF5A90C67E7FBC47BD5964966D94519D2C8CDA,1.0,1.0,1.0,0.0,1.0,0.0,20200425
11,80C41C21F39D1BE62E0485AAF8D3F23962F44D9C73B1E80887770C00A54B1C98,1.0,1.0,1.0,0.0,1.0,0.0,20200425
12,3365EFA2AD0213A37D54D6B1CCB73C3E3DDC4DB3A33E9EF3930E3708DE12F32E,1.0,1.0,1.0,0.0,1.0,0.0,20200425
13,6E59E398B81D227FCFAC38613A33DCC7C5C8A8ACB387D3CE0799C22AE7FFDBC4,1.0,1.0,1.0,0.0,1.0,0.0,20200425
14,F8CCB5363290CBD39D21926BBF113E87FEF0541159DB786AD52D866E628CC75B,1.0,1.0,1.0,0.0,1.0,0.0,20200425
15,C8B871649182CFAD13E3E682A309022504468EFE6888D738863AD837BA42FC01,1.0,1.0,1.0,0.0,1.0,0.0,20200425
16,8F14C399A0CF46C78721AAB1E9030A654210C85DC5353501C659725255A9D624,1.0,1.0,1.0,0.0,1.0,0.0,20200425
17,8F7C4814BB88F39EA00CE738EB50BD23F584EC0B4DD72EC41962760CAB1AAAC8,1.0,1.0,1.0,0.0,1.0,0.0,20200425
18,919D4BAFBEA6BF57880E8D69FB95A9F6AB1EA838166F4F0A4A2E180C1A76BE16,1.0,1.0,1.0,0.0,1.0,0.0,20200425
19,FB3E60592D0F870E8AC305110A4F48FEDEA1D3152B8FC676AF9332B5396E02E6,1.0,1.0,1.0,0.0,1.0,0.0,20200425
20,5FC8E425D54A5CDA546C4457D2CB9E69A9F4507A0385F5CB19672A2D91797373,1.0,1.0,1.0,0.0,1.0,0.0,20200425
21,D87A3EB5041B5977E9FC1F1042A23608105D6FAB15F983206BF59FF5D036F5C3,1.0,1.0,1.0,0.0,1.0,0.0,20200425
22,214576B7809662C048212BAD923EB8DAA495EAD1DA33570BE79255670C1A7B14,1.0,1.0,1.0,0.0,1.0,0.0,20200425
23,F4F8997844FD976A1834E2DC151679F60F274BC06BDD21E1F9649FDF47CCDF15,1.0,1.0,1.0,0.0,1.0,0.0,20200425
24,BCF40718D00D80C3BB375C11C2E453685DBDFBDC99A84B436F3EDDD94F29FF64,1.0,1.0,1.0,0.0,1.0,0.0,20200425
25,015926AC53CDAADADC5632D095E6747A119962E31150273BD4C72E8F8FB8A73C,1.0,1.0,1.0,0.0,1.0,0.0,20200425
26,379F74DA615F3E06049C4BE0060F2EA4022C8A4ED2C5C43ABA5CE31931C35449,1.0,1.0,1.0,0.0,1.0,0.0,20200425
27,A2A6B2906D75586D809FA49B84DD611513B7CD486FD4FDD531E6D7A4EAEA505C,1.0,1.0,1.0,0.0,1.0,0.0,20200425
28,28A461C2CBC02F83306100418F78C39907C1B9907D91CC6AC685EEF440BF113B,1.0,1.0,1.0,0.0,1.0,0.0,20200425
29,32334279F659917D3F942165FD2DA26875E3FB7D5021D9B919DEC2D6E3977E9B,1.0,1.0,1.0,0.0,1.0,0.0,20200425
30,06D7AC131D82F1C827782AADE5CF675358CE11164733D11468F83C64633EDB0B,1.0,1.0,1.0,0.0,1.0,0.0,20200425
31,0F5BD6F5A034EA7BD92F636D1D76E6D9D6356825E3AD78F2962CC13668ADB648,1.0,1.0,1.0,0.0,1.0,0.0,20200425
